id,date_or_range,object_family,agent_network,publication_or_imprint,apparatus,frontispiece_status,evidence_status,source_anchor,analytical_use,notes
parallel.sagittarius-ectypa,"1680s",numismatic_surrogate_image_project,"Johann Christfried Sagittarius; Christian Schlegel; Gotha antiquarian network","unpublished/planned bracteate work; surviving woodcut sheets","600 bracteates planned; 497 woodcut coin images on four full sheets derived from originals and received drawings; later Schlegel annotations/corrections",n/a,verified_catalogue,"Martin Mulsow 2018, discussion of FB Gotha Ch. A 1205","prehistory for visual surrogacy, remote collection communication, reproduction error and expert correction","Schlegel reports omitted names and transposed letters and inferred that Sagittarius used the images to communicate what he possessed; this is a controlled comparator, not a direct line to Clio"
parallel.schlegel-historia-saxonica,"c.1696-1697",numismatic_historical_manuscript,"Christian Schlegel; Wilhelm Ernst Tentzel; Haugwitz collection / Gotha-Weimar network","unpublished manuscript; copperplate apparatus later separated","historical argument grounded in coin evidence; comparison with seals; 8 folio copperplates commissioned for the project",n/a,verified_catalogue,"Martin Mulsow 2018 NASG article; University of Erfurt 2019 research notice","prehistory for historical truth demonstrated from material evidence and for text/plate separation","Date differs slightly in modern notices; preserve c.1696-97. No direct influence on Clio/Köhler claimed"
parallel.franck-schlegel-plates,1723,plate_reuse_publication,"Salomon Franck; Christian Schlegel; Haugwitz/Weimar collections","Weimar, 1723 publication context","eight copperplates originally prepared for Schlegel's numismatic history published with sparse new text after manuscript and plates had become separated",n/a,verified_catalogue,"Mulsow 2018; Klassik Stiftung Weimar collection-history research","control for material separation/reuse of engraved apparatus independently of its original text","Directly relevant to corpus distinction between plate history and host-publication history"
parallel.eccard-comparison-network,1721-1722,antiquarian_genealogical_method,"Johann Georg Eccard; La Croze correspondence network","Hanover correspondence and public notice","scripts + seal impressions + coins + securely dated manuscripts + archives; drawings and ectypes accepted when originals could not travel",n/a,verified_primary,"Thesaurus Epistolicus Lacrozianus / CAMENA, letters 10 Jul 1721 and Feb 1722","immediate pre-Weigel model for collect-reproduce-compare-date-confirm operations","Eccard explicitly says coins can exornare, imo et firmare genealogy; direct Köhler citation not yet located"
parallel.eccard-historia-genealogica,1722,genealogical_history,"Johann Georg Eccard","Leipzig, 1722","genealogical argument advertised as demonstrated from trustworthy and partly previously unknown monuments; catalogue descriptions report copperplates and genealogical tables",unknown,verified_catalogue,"digital/book catalogue records for Historia genealogica principum Saxoniae superioris","printed comparator for Eccard's correspondence-based evidentiary method","Direct plate inspection still required"
parallel.eccard-ebner-kaestlein,1725,object_centred_antiquarian_history,"Johann Georg Eccard; Ebner cabinet; Peter Conrad Monath","Nürnberg: Monath, 1725","old jewel/casket from a Nuremberg cabinet interpreted alongside related old coins; three copperplates reported, plus text copper and woodcut paratext in a current copy description",n/a,verified_catalogue,"DDB/BSB VD18 14444186; bavarikon 4 Bavar. 601; Joseph Baer Katalog 776 item 683; current Jeschke/Barnebys description","same-city comparator for object→engraving→dynastic historical explanation in the exact 1725 Clio-transition year","Different publisher from Weigel; no direct Eccard–Köhler/Weigel link established. Use as Nuremberg object/cabinet context, not influence proof"
parallel.bequemes-handbuch,"1725-1744?; later copies/catalogues c.1750",genealogical_heraldic_handbook,"Weigel widow; Lorentz Bieling; Johann David Köhler attribution","Nürnberg, Christoph Weigels seel. Wittwe / Bieling","armorial engravings paired with genealogical tables; indexes; publisher list","copper title/frontispiece reported in multiple copies; identity unresolved",verified_catalogue,"BNE date range; Honterus lot 295; ZVAB SB-17124; Emil Hirsch Katalog 18 lot 72","tests whether handbook/reference form predates Gatterer and whether annual apparatus was recomposed for news-reading","Do not collapse divergent copy descriptions. Hirsch 1930 places an undated c.1725 handbook with title copper and 85 armorial plates immediately after the 1725 Wappenkalender, itself catalogued with title copper and 85 armorial plates. This is a high-value plate-stock comparison lead, not proof of identity"
parallel.doederlein-numis-1729,1729,numismatic_comparison_tract,"Johann Alexander Döderlein; Christian Schlegel cited; Johann Georg Eccard cited; Nürnberg Endter/Engelbrecht print network","Nürnberg: Julius Arnold Engelbrecht and W. M. Endter heirs","252-page bracteate/medieval-coin study with engraved figures; one unnumbered plate plus three folding copperplates reported; directly cites Eccard 1725 p.45 and Tab.III Fig.XXVI while also referring readers to Schlegel",n/a,verified_catalogue,"Döderlein, Commentatio Historica de Numis Germaniae Mediae (1729); e-rara searchable text; Künker bibliographic collations","printed Nürnberg bridge placing Schlegel and Eccard inside one concrete numismatic comparison environment in the same year Köhler's Münz-Belustigung begins","No direct Johann David Köhler citation/borrowing established. Johann David's son Johann Tobias was later educated at Weißenburg under Döderlein, providing a genuine intergenerational social edge but not proof of 1729 textual transmission"
parallel.muenzbelustigung,1729-1750,weekly_numismatic_serial,"Johann David Köhler; Weigel publishing network","Nürnberg: Weigel","weekly engraved coins/medals with historical explanation; 22 annual parts","1729 first part frontispiece explicitly reported in numismatic auction bibliography",verified_catalogue,"DDB/BSB; ZDB/HEIDI; Solidus numismatic catalogue","control for serial evidentiary display, rare-object description, chronology and repeated historical verification","Serial usually described as weekly; 22 parts. Later register volumes/dates vary across catalogues and should be collated separately"
parallel.voluntarium-1733,1733,historical_political_dissertation,"Johann David Köhler; Gabriel Müller; Martin Tyroff; Magnus Daniel Meyer","Altdorf: Meyer","2 copperplate plates with 6 vignettes, two after Müller by Tyroff",not_target_clio,verified_catalogue,"DDB/BSB VD18 14392267","direct production-network control linking Köhler-Müller-Tyroff outside the calendar","Do not infer shared plate; evidence is shared personnel and engraved visual production"
parallel.kohler-tentzel-1743,1743,numismatic_biographical_reuse,"Johann David Köhler; Wilhelm Ernst Tentzel","Historische Münz-Belustigung vol. 15","item 13 treats a 1700 medal of Tentzel, historian and numismatist",not_target_clio,verified_catalogue,"Münz-Belustigung 15 (1743), pp.97-102; coingallery contents; Brill Tentzel study","documented bridge from Köhler to an earlier Gotha-Saxony antiquarian-numismatic network","Bridge is documentary, but it does not prove Köhler knew Schlegel's unpublished manuscript"
parallel.oetter-coin-1748,1748,numismatic_tract,"Samuel Wilhelm Oetter; Martin Tyroff; Weigel heirs","Nürnberg: Christoph Weigel des ältern seel. Erben; Bieling printer","rare coins submitted to numismatic examination; engraved and woodcut illustrations",unknown,reported_correspondence,"GNM Weigel/Tyroff holdings list, item 28","bridges Clio coin attribute to concrete numismatic examination in same publishing succession","Promote after direct copy/scan inspection"
parallel.kohler-wappenkenntniss-1749,1749,heraldic_object_demonstration,"Johann David Köhler","Göttingen, 1749","1518 Altötting silver votive ship represented in two folded copperplates; 12 coats of arms and initials compared to identify companions and distinguish among three dukes named Heinrich",n/a,verified_catalogue,"Köhler, Gezeigter und bestärckter Nutz der Wappenkenntnüß zur Entdeckung einer historischen Wahrheit (1749); Altötting bibliography; modern scholarly reconstruction","explicitly casts heraldic knowledge as a tool for discovering a historical truth; object→engraving→comparison→identification chain","Detailed procedural claims should still be checked against the digitised 1749 copy"
parallel.kohler-heraldic-response-1751,1751,printed_verification_controversy,"Georg Christian Gebauer attributed; Johann David Köhler as target","Frankfurt/Leipzig, 1751","printed Anzeige reopens the identification of the Altötting ship's Duke Heinrich",n/a,verified_catalogue,"catalogue records for Anzeige Zu der ... Frage ...","shows heraldic identification as contestable and subject to printed re-checking","Treat attribution/details as catalogue-level until direct copy inspection"
parallel.kohler-portrait-1756,1756,portrait_print,"Johann David Köhler; Gabriel Müller; Martin Tyroff",,"engraved/etched portrait",not_target_clio,verified_catalogue,"Rijksmuseum RP-P-2021-2604","extends Müller-Tyroff collaboration and ties it directly to Köhler","Rijksmuseum records Tyroff as printmaker and after painting by Müller"
parallel.roesel-frogs-1758,1758,natural_history,"August Johann Rösel von Rosenhof; Martin Tyroff","Nürnberg: Fleischmann","paired coloured/uncoloured natural-history plates; Tyroff engravings",unknown,reported_correspondence,"GNM Weigel/Tyroff holdings list, item 35","cross-domain control for visual comparison and evidentiary reproduction","Promote after direct copy/scan inspection"
