year,phase,issue_no_or_status,title_family,publisher_or_imprint,copy_or_digital_anchor,frontispiece_status,evidence_status,notes
1723,weigel_calendar,1_expected,Geschichts-Geschlechts-und-Wappen-Calender,Weigel,"BSB Geneal. 46-1723; urn:nbn:de:bvb:12-bsb10428125-1",unknown,verified_catalogue,"Series opening year in ZDB/DNB; inspect front matter"
1724,weigel_calendar,2_expected,Geschichts-Geschlechts-und-Wappen-Calender,Christoph Weigel,"antiquarian complete-copy description; Polish auction catalogue",different_event_frontispiece_reported,verified_catalogue,"Frontispiece described as Gedenckwürdigkeiten des 1722ten Jahres / important events of 1722; critical negative witness for target Clio design"
1725,weigel_calendar,3_expected,Geschichts-Geschlechts-und-Wappen-Calender,Christoph Weigel,"BSB/MDZ bsb10428127; DNB individual holding; current auction/loose-leaf traces",frontispiece_identity_unresolved,verified_catalogue,"Priority transition-year witness; digital object located but frontispiece page not yet directly inspected in current sweep"
1726,weigel_calendar,4_expected,Geschichts-Geschlechts-und-Wappen-Calender,Weigel widow,"Auction Imperia 2025 lot imagery",target_design_visible_web_image,verified_catalogue,"Earliest currently located positive image-level witness for Historia Genealogia Heraldica design"
1727,weigel_calendar,5,Geschichts-Geschlechts-und-Wappen-Calender,"L. Bieling for C. Weigels Witwe","BSB digital coverage via HEIDI/ZDB; Katalog 37 physical-copy description",frontispiece_unreported_in_that_copy,verified_catalogue,"Katalog 37 explicitly calls 1727 the fifth newly enlarged and improved issue; incomplete copy lacks enough material that no frontispiece count is given"
1728,weigel_calendar,6,Geschichts-Geschlechts-und-Wappen-Calender,"L. Bieling for C. Weigels Witwe","ULB Düsseldorf digital; Katalog 37; antiquarian catalogue copies",engraved_frontispiece_identity_unchecked,verified_catalogue,"Physical-copy catalogue: engraved frontispiece + 12 portraits + engraved colour-key plate + 89 armorial engravings; 60 numbered double-leaf genealogical tables; publisher advertisements"
1729,weigel_calendar,7_expected,Geschichts-Geschlechts-und-Wappen-Calender,Weigel constellation,"BSB digital coverage; DNB holdings from 7.1729 onward",unknown,verified_catalogue,"Inspect scan; same year Köhler begins Historische Münz-Belustigung"
1730,weigel_calendar,8_expected,Geschichts-Geschlechts-und-Wappen-Calender,Weigel constellation,"BSB digital coverage",unknown,verified_catalogue,"Inspect scan"
1731,weigel_calendar,9,Geschichts-Geschlechts-und-Wappen-Calender,"Barbara Magdalena Weigel / Weigel constellation","BSB Geneal. 46-1731; urn:nbn:de:bvb:12-bsb10428133-5; HAB copy",unknown,verified_catalogue,"HAB Christine Luise copy adds copy-level provenance"
1732,weigel_calendar,10,Geschichts-Geschlechts-und-Wappen-Calender,"L. Bieling for C. Weigels Witwe","BSB Geneal. 46-1732; urn:nbn:de:bvb:12-bsb11304570-1; Katalog 37",engraved_frontispiece_identity_unchecked,verified_catalogue,"Katalog 37 confirms tenth issue and reports frontispiece + 12 portraits + colour-key plate + 89 armorial engravings"
1733,weigel_calendar,11,Geschichts-Geschlechts-und-Wappen-Calender,"Barbara Magdalena Weigel / Weigel constellation","ULB Düsseldorf digital; HAB digital urn:nbn:de:hbz:061:1-621333",unknown,verified_catalogue,"Loose armorial leaves survive separately; verso genealogical tables"
1734,weigel_calendar,12,Geschichts-Geschlechts-und-Wappen-Calender,Weigel,"Kiefer auction copy",engraved_frontispiece_identity_unchecked,verified_catalogue,"Incomplete copy still records engraved frontispiece and extensive portrait/armorial-table apparatus"
1735,weigel_calendar,13,Geschichts-Geschlechts-und-Wappen-Calender,"L. Bieling for C. Weigels Witwe","Venator & Hanstein lot 96; BSB digital",engraved_frontispiece_identity_unchecked,verified_catalogue,"Frontispiece physically noted as tipped/hinged in gutter; 93 armorial engravings"
1736,weigel_calendar,14,Geschichts-Geschlechts-und-Wappen-Calender,Christoph Weigel,"BSB Geneal. 46-1736; urn:nbn:de:bvb:12-bsb10428137-6; Narrenschiff listing",target_design_probable_from_listing,verified_catalogue,"Seller labels item Historia Genealocica Heraldica and records engraved allegorical frontispiece; verify exact plate"
